"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"6685","M8","ENSG00000140853",0.8767,4.2876,4.2988,0.9787
"6686","M8","ENSG00000140259",0.4667,3.5216,3.4411,0.9297
"6687","M8","ENSG00000100030",0.0268,3.6763,3.7657,0.7634
"6688","M8","ENSG00000106341",0.2596,-1.3961,-1.07,0.9297
"6689","M8","ENSG00000232611",0.7862,-0.9148,-0.8282,0.9736
"6690","M8","ENSG00000267500",0.6818,-1.2583,-1.4268,0.9668
"6691","M8","ENSG00000273179",0.2888,1.8764,1.6747,0.9297
"6692","M8","ENSG00000189366",0.8431,-4.9177,-5.1812,0.9779
"6693","M8","ENSG00000250859",0.8239,-3.6205,-3.3964,0.9779
"6694","M8","ENSG00000279706",0.2305,0.1388,0.4537,0.9297
"6695","M8","ENSG00000227527",0.4493,-4.1729,-5.35,0.9297
"6696","M8","ENSG00000213860",0.3484,1.4579,1.758,0.9297
"6697","M8","ENSG00000236004",0.9768,-2.548,-2.5176,0.9949
"6698","M8","ENSG00000151611",0.3951,0.0996,0.2304,0.9297
"6699","M8","ENSG00000206731",0.4167,-0.9497,-2.4199,0.9297
"6700","M8","ENSG00000135047",0.6986,-4.5911,-4.1126,0.9668
"6701","M8","ENSG00000257241",0.398,-2.9601,-4.3941,0.9297
"6702","M8","ENSG00000243799",0.3506,-5.9909,-5.1568,0.9297
"6703","M8","ENSG00000103150",0.3244,1.0829,1.1783,0.9297
"6704","M8","ENSG00000176160",0.4472,-0.6961,-0.5445,0.9297
"6705","M8","ENSG00000249087",0.6922,0.3855,0.2714,0.9668
"6706","M8","ENSG00000173366",0.192,-4.1177,-1.7828,0.9297
"6707","M8","ENSG00000206013",0.4676,0.2252,0.3917,0.9297
"6708","M8","ENSG00000238173",0.4591,-0.227,-0.7357,0.9297
"6709","M8","ENSG00000266245",0.6975,1.0868,0.81,0.9668
"6710","M8","ENSG00000117298",0.5307,3.1178,3.077,0.943
"6711","M8","ENSG00000171793",0.8245,3.3457,3.3561,0.9779
"6712","M8","ENSG00000267980",0.5564,0.4467,0.6959,0.9475
"6713","M8","ENSG00000012124",0.5747,6.0916,6.0575,0.9526
"6714","M8","ENSG00000172932",0.1315,2.5385,2.4163,0.9297
"6715","M8","ENSG00000283202",0.5806,-3.8786,-2.8782,0.9549
"6716","M8","ENSG00000267128",0.3064,0.084,0.3247,0.9297
"6717","M8","ENSG00000213081",0.7319,-1.9894,-1.5831,0.9699
"6718","M8","ENSG00000116209",0.0239,1.9701,2.249,0.7354
"6719","M8","ENSG00000156500",0.2957,0.0533,-0.0655,0.9297
"6720","M8","ENSG00000163166",0.0128,3.3009,2.9906,0.722
"6721","M8","ENSG00000225741",0.0232,-4.5925,-2.1429,0.7354
"6722","M8","ENSG00000107902",0.7988,-0.3422,-0.31,0.9764
"6723","M8","ENSG00000196418",0.1933,1.982,2.1366,0.9297
"6724","M8","ENSG00000265490",0.5536,-0.4127,-0.6871,0.9471
"6725","M8","ENSG00000143353",0.3896,2.8472,2.9701,0.9297
"6726","M8","ENSG00000168126",0.0951,0.4563,1.264,0.91
"6727","M8","ENSG00000266993",0.4751,0.7083,1.0185,0.9297
"6728","M8","ENSG00000231160",0.4173,-1.5926,-1.8544,0.9297
"6729","M8","ENSG00000256683",0.7361,2.0932,2.0377,0.9699
"6730","M8","ENSG00000217231",0.3983,-7e-04,0.3404,0.9297
"6731","M8","ENSG00000254905",0.1307,-2.1986,-0.6881,0.9297
"6732","M8","ENSG00000236583",0.8957,1.0862,1.0521,0.9833
"6733","M8","ENSG00000124120",0.5489,0.9047,0.6719,0.9459
"6734","M8","ENSG00000270874",0.4505,-0.7507,-1.0374,0.9297
"6735","M8","ENSG00000198393",0.363,1.3559,1.4498,0.9297
"6736","M8","ENSG00000165178",0.8325,6.2932,6.2777,0.9779
"6737","M8","ENSG00000167186",0.0249,0.8637,0.4437,0.7545
"6738","M8","ENSG00000064309",0.2541,-6.1379,-5.6026,0.9297
"6739","M8","ENSG00000067064",0.3144,3.3395,3.4496,0.9297
"6740","M8","ENSG00000118976",0.6021,0.2338,0.3559,0.9561
"6741","M8","ENSG00000273474",0.8754,-2.5491,-2.8004,0.9787
"6742","M8","ENSG00000095015",0.3144,2.3753,2.3042,0.9297
"6743","M8","ENSG00000129355",0.2568,1.8562,2.0816,0.9297
"6744","M8","ENSG00000222009",0.4788,-0.7067,-0.837,0.9297
"6745","M8","ENSG00000261302",0.7687,-3.6094,-4.0902,0.97
"6746","M8","ENSG00000148483",0.988,-5.6768,-5.6883,0.9952
"6747","M8","ENSG00000158286",0.8703,1.9444,1.9639,0.9787
"6748","M8","ENSG00000148290",0.1708,3.9872,4.095,0.9297
"6749","M8","ENSG00000164692",0.388,-4.3871,-4.7574,0.9297
"6750","M8","ENSG00000285280",0.549,-2.339,-2.1316,0.9459
"6751","M8","ENSG00000227813",0.4415,-1.8112,-2.8025,0.9297
"6752","M8","ENSG00000284627",0.0427,2.3655,-0.3414,0.8598
"6753","M8","ENSG00000199906",0.05,-0.583,0.4105,0.8842
"6754","M8","ENSG00000204634",0.1199,-0.0677,0.2655,0.9297
"6755","M8","ENSG00000204025",0.3991,-4.5666,-5.4443,0.9297
"6756","M8","ENSG00000249286",0.8996,-1.038,-0.9201,0.9833
"6757","M8","ENSG00000158869",0.5051,-1.5982,-1.1624,0.9357
"6758","M8","ENSG00000176155",0.2511,1.3388,1.1079,0.9297
"6759","M8","ENSG00000165548",0.0687,-4.0577,-5.4519,0.896
"6760","M8","ENSG00000279117",0.4974,-1.5047,-1.9364,0.9332
"6761","M8","ENSG00000260790",0.4512,-0.4611,-0.2442,0.9297
"6762","M8","ENSG00000257379",0.3766,3.0036,2.8354,0.9297
"6763","M8","ENSG00000280334",0.0051,-2.0483,-3.2148,0.68
"6764","M8","ENSG00000151466",0.707,1.8722,1.9152,0.9668
"6765","M8","ENSG00000266538",0.5979,-0.3998,-0.1652,0.9561
"6766","M8","ENSG00000173406",0.1212,-5.3426,-6.0679,0.9297
"6767","M8","ENSG00000247092",0.4536,2.0683,2.1588,0.9297
"6768","M8","ENSG00000174748",0.0041,6.1859,6.3659,0.5857
"6769","M8","ENSG00000175741",0.9442,-5.3728,-5.4213,0.9871
"6770","M8","ENSG00000128268",0.6834,3.4454,3.494,0.9668
"6771","M8","ENSG00000183250",0.675,3.1253,3.0696,0.9668
"6772","M8","ENSG00000116171",0.0832,2.1129,2.2878,0.9065
"6773","M8","ENSG00000283757",0.2487,-4.4155,-5.2285,0.9297
"6774","M8","ENSG00000277561",0.1361,-5.3109,-6.1884,0.9297
"6775","M8","ENSG00000135452",0.635,2.1868,2.2473,0.9617
"6776","M8","ENSG00000219188",0.0663,-1.3199,-3.1555,0.896
"6777","M8","ENSG00000257718",0.3214,1.369,1.03,0.9297
"6778","M8","ENSG00000251184",0.8817,-4.7333,-4.9717,0.9791
"6779","M8","ENSG00000219201",0.6359,-1.0338,-0.818,0.9617
"6780","M8","ENSG00000231789",0.4891,2.3452,2.4524,0.9297
"6781","M8","ENSG00000129194",0.2831,-0.0883,0.2129,0.9297
"6782","M8","ENSG00000279722",0.1332,0.1405,-0.3943,0.9297
"6783","M8","ENSG00000270728",0.3854,-0.5182,-0.1711,0.9297
"6784","M8","ENSG00000175324",0.6467,3.4466,3.3786,0.9617
"6785","M8","ENSG00000223396",0.0964,1.1384,1.3316,0.9124
"6786","M8","ENSG00000202125",0.1218,0.1486,1.3041,0.9297
"6787","M8","ENSG00000271871",0.1027,0.0427,0.5747,0.9124
"6788","M8","ENSG00000201533",0.6771,-1.4539,-2.0066,0.9668
"6789","M8","ENSG00000201867",0.2085,-0.3108,-1.2724,0.9297
"6790","M8","ENSG00000125630",0.8087,3.1368,3.1532,0.9779
"6791","M8","ENSG00000136861",0.2286,2.7415,2.6393,0.9297
