"gene_compare","gene","compare","uchar"
"ENSG00000146247 D5/D6","ENSG00000146247","D5/D6",2.13517460481645
"ENSG00000146350 D5/D6","ENSG00000146350","D5/D6",2.64060812865713
"ENSG00000146426 D5/D6","ENSG00000146426","D5/D6",7.09540992222398
"ENSG00000146856 D5/D6","ENSG00000146856","D5/D6",2.77422190847592
"ENSG00000147202 D5/D6","ENSG00000147202","D5/D6",0.694347116661826
"ENSG00000147364 D5/D6","ENSG00000147364","D5/D6",2.21395356118783
"ENSG00000147403 D5/D6","ENSG00000147403","D5/D6",0.942832573370995
"ENSG00000148158 D5/D6","ENSG00000148158","D5/D6",1.03951239133204
"ENSG00000148219 D5/D6","ENSG00000148219","D5/D6",2.39943320949843
"ENSG00000148483 D5/D6","ENSG00000148483","D5/D6",11.2301901834777
"ENSG00000148773 D5/D6","ENSG00000148773","D5/D6",9.47299624534002
"ENSG00000149679 D5/D6","ENSG00000149679","D5/D6",3.07476865361845
"ENSG00000150867 D5/D6","ENSG00000150867","D5/D6",1.48520495520301
"ENSG00000150967 D5/D6","ENSG00000150967","D5/D6",5.36482011875017
"ENSG00000151353 D5/D6","ENSG00000151353","D5/D6",2.18890666889637
"ENSG00000151422 D5/D6","ENSG00000151422","D5/D6",6.0829912646263
"ENSG00000151474 D5/D6","ENSG00000151474","D5/D6",3.42865229310095
"ENSG00000151552 D5/D6","ENSG00000151552","D5/D6",2.4460580168776
"ENSG00000151611 D5/D6","ENSG00000151611","D5/D6",1.85666887950522
"ENSG00000151704 D5/D6","ENSG00000151704","D5/D6",9.82355344332617
"ENSG00000152253 D5/D6","ENSG00000152253","D5/D6",4.98357086605814
"ENSG00000152454 D5/D6","ENSG00000152454","D5/D6",2.01361632194563
"ENSG00000152778 D5/D6","ENSG00000152778","D5/D6",0.929320520543319
"ENSG00000153250 D5/D6","ENSG00000153250","D5/D6",2.82476651799384
"ENSG00000154079 D5/D6","ENSG00000154079","D5/D6",1.81702091585923
"ENSG00000154645 D5/D6","ENSG00000154645","D5/D6",4.08366047740534
"ENSG00000154978 D5/D6","ENSG00000154978","D5/D6",1.40094209926029
"ENSG00000155561 D5/D6","ENSG00000155561","D5/D6",1.29283313669335
"ENSG00000155592 D5/D6","ENSG00000155592","D5/D6",1.3055419026624
"ENSG00000155792 D5/D6","ENSG00000155792","D5/D6",5.35517639836511
"ENSG00000155970 D5/D6","ENSG00000155970","D5/D6",4.19460826951824
"ENSG00000156273 D5/D6","ENSG00000156273","D5/D6",1.50805114208057
"ENSG00000156304 D5/D6","ENSG00000156304","D5/D6",2.07497661541011
"ENSG00000156535 D5/D6","ENSG00000156535","D5/D6",1.44248341008062
"ENSG00000156970 D5/D6","ENSG00000156970","D5/D6",3.19294087675974
"ENSG00000157456 D5/D6","ENSG00000157456","D5/D6",9.12110229772051
"ENSG00000157470 D5/D6","ENSG00000157470","D5/D6",0.855817010714533
"ENSG00000157483 D5/D6","ENSG00000157483","D5/D6",0.6923664349877
"ENSG00000157510 D5/D6","ENSG00000157510","D5/D6",9.58022984007859
"ENSG00000157833 D5/D6","ENSG00000157833","D5/D6",1.14362228613049
"ENSG00000158006 D5/D6","ENSG00000158006","D5/D6",1.13246142979133
"ENSG00000158402 D5/D6","ENSG00000158402","D5/D6",4.15384255366465
"ENSG00000158815 D5/D6","ENSG00000158815","D5/D6",5.37645559953344
"ENSG00000158869 D5/D6","ENSG00000158869","D5/D6",9.11829618574245
