"gene_compare","gene","compare","us"
"ENSG00000122026 D5/D6","ENSG00000122026","D5/D6",3.04463151948601
"ENSG00000122545 D5/D6","ENSG00000122545","D5/D6",3.04463151948601
"ENSG00000122778 D5/D6","ENSG00000122778","D5/D6",3.04463151948601
"ENSG00000122966 D5/D6","ENSG00000122966","D5/D6",3.04463151948601
"ENSG00000122970 D5/D6","ENSG00000122970","D5/D6",3.04463151948601
"ENSG00000123453 D5/D6","ENSG00000123453","D5/D6",3.04463151948601
"ENSG00000123485 D5/D6","ENSG00000123485","D5/D6",3.04463151948601
"ENSG00000123595 D5/D6","ENSG00000123595","D5/D6",3.04463151948601
"ENSG00000124097 D5/D6","ENSG00000124097","D5/D6",3.04463151948601
"ENSG00000124120 D5/D6","ENSG00000124120","D5/D6",3.04463151948601
"ENSG00000124177 D5/D6","ENSG00000124177","D5/D6",3.04463151948601
"ENSG00000124201 D5/D6","ENSG00000124201","D5/D6",3.04463151948601
"ENSG00000124224 D5/D6","ENSG00000124224","D5/D6",3.04463151948601
"ENSG00000124228 D5/D6","ENSG00000124228","D5/D6",3.04463151948601
"ENSG00000124422 D5/D6","ENSG00000124422","D5/D6",3.04463151948601
"ENSG00000124496 D5/D6","ENSG00000124496","D5/D6",3.04463151948601
"ENSG00000124789 D5/D6","ENSG00000124789","D5/D6",3.04463151948601
"ENSG00000124942 D5/D6","ENSG00000124942","D5/D6",3.04463151948601
"ENSG00000125388 D5/D6","ENSG00000125388","D5/D6",3.04463151948601
"ENSG00000125630 D5/D6","ENSG00000125630","D5/D6",3.04463151948601
"ENSG00000125827 D5/D6","ENSG00000125827","D5/D6",3.04463151948601
"ENSG00000126243 D5/D6","ENSG00000126243","D5/D6",3.04463151948601
"ENSG00000126261 D5/D6","ENSG00000126261","D5/D6",3.04463151948601
"ENSG00000126266 D5/D6","ENSG00000126266","D5/D6",3.04463151948601
"ENSG00000126458 D5/D6","ENSG00000126458","D5/D6",3.04463151948601
"ENSG00000127663 D5/D6","ENSG00000127663","D5/D6",3.04463151948601
"ENSG00000128050 D5/D6","ENSG00000128050","D5/D6",3.04463151948601
"ENSG00000128268 D5/D6","ENSG00000128268","D5/D6",3.04463151948601
"ENSG00000128482 D5/D6","ENSG00000128482","D5/D6",3.04463151948601
"ENSG00000128512 D5/D6","ENSG00000128512","D5/D6",3.04463151948601
"ENSG00000128683 D5/D6","ENSG00000128683","D5/D6",3.04463151948601
"ENSG00000129250 D5/D6","ENSG00000129250","D5/D6",3.04463151948601
"ENSG00000129355 D5/D6","ENSG00000129355","D5/D6",3.04463151948601
"ENSG00000129566 D5/D6","ENSG00000129566","D5/D6",3.04463151948601
"ENSG00000129911 D5/D6","ENSG00000129911","D5/D6",3.04463151948601
"ENSG00000130175 D5/D6","ENSG00000130175","D5/D6",3.04463151948601
"ENSG00000130449 D5/D6","ENSG00000130449","D5/D6",3.04463151948601
"ENSG00000130517 D5/D6","ENSG00000130517","D5/D6",3.04463151948601
"ENSG00000130711 D5/D6","ENSG00000130711","D5/D6",3.04463151948601
"ENSG00000130985 D5/D6","ENSG00000130985","D5/D6",3.04463151948601
"ENSG00000131089 D5/D6","ENSG00000131089","D5/D6",3.04463151948601
"ENSG00000131187 D5/D6","ENSG00000131187","D5/D6",3.04463151948601
"ENSG00000131236 D5/D6","ENSG00000131236","D5/D6",3.04463151948601
"ENSG00000131398 D5/D6","ENSG00000131398","D5/D6",3.04463151948601
"ENSG00000131876 D5/D6","ENSG00000131876","D5/D6",3.04463151948601
"ENSG00000132436 D5/D6","ENSG00000132436","D5/D6",3.04463151948601
"ENSG00000132570 D5/D6","ENSG00000132570","D5/D6",3.04463151948601
"ENSG00000132773 D5/D6","ENSG00000132773","D5/D6",3.04463151948601
"ENSG00000132780 D5/D6","ENSG00000132780","D5/D6",3.04463151948601
"ENSG00000132938 D5/D6","ENSG00000132938","D5/D6",3.04463151948601
"ENSG00000133639 D5/D6","ENSG00000133639","D5/D6",3.04463151948601
"ENSG00000134453 D5/D6","ENSG00000134453","D5/D6",3.04463151948601
"ENSG00000134508 D5/D6","ENSG00000134508","D5/D6",3.04463151948601
"ENSG00000134590 D5/D6","ENSG00000134590","D5/D6",3.04463151948601
"ENSG00000134884 D5/D6","ENSG00000134884","D5/D6",3.04463151948601
"ENSG00000135048 D5/D6","ENSG00000135048","D5/D6",3.04463151948601
"ENSG00000135148 D5/D6","ENSG00000135148","D5/D6",3.04463151948601
