"","Var1","Freq","gene","compare","gene_compare","FC","medianp"
"1858","ENSG00000180846 M8/D6",4,"ENSG00000180846","M8/D6","ENSG00000180846 M8/D6",1.31052546985148,0.160258671317098
"1862","ENSG00000180884 M8/D6",8,"ENSG00000180884","M8/D6","ENSG00000180884 M8/D6",1.25288737724111,0.0109602143003272
"1880","ENSG00000181754 M8/D6",5,"ENSG00000181754","M8/D6","ENSG00000181754 M8/D6",0.786369874379899,0.0700224102935658
"1883","ENSG00000181790 M8/D6",6,"ENSG00000181790","M8/D6","ENSG00000181790 M8/D6",0.67319503065468,0.0273564146750098
"1885","ENSG00000181804 M8/D6",9,"ENSG00000181804","M8/D6","ENSG00000181804 M8/D6",1.17459787533862,0.0133967990896515
"1891","ENSG00000182158 M8/D6",6,"ENSG00000182158","M8/D6","ENSG00000182158 M8/D6",0.718668836262693,0.0309846046421303
"1894","ENSG00000182199 M8/D6",8,"ENSG00000182199","M8/D6","ENSG00000182199 M8/D6",0.865130701832403,0.01197181960353
"1905","ENSG00000182798 M8/D6",10,"ENSG00000182798","M8/D6","ENSG00000182798 M8/D6",2.8919991656055,0.00277326071397031
"1911","ENSG00000182944 M8/D6",7,"ENSG00000182944","M8/D6","ENSG00000182944 M8/D6",0.883279911288885,0.0103303425258873
"1914","ENSG00000183250 M8/D6",9,"ENSG00000183250","M8/D6","ENSG00000183250 M8/D6",2.62927343236962,9.8894339078778e-07
"1925","ENSG00000183604 M8/D6",6,"ENSG00000183604","M8/D6","ENSG00000183604 M8/D6",1.14019533638879,0.0153837685495244
"1926","ENSG00000183763 M8/D6",10,"ENSG00000183763","M8/D6","ENSG00000183763 M8/D6",1.59278942855008,0.00104196781437738
"1927","ENSG00000183856 M8/D6",10,"ENSG00000183856","M8/D6","ENSG00000183856 M8/D6",2.73133252754967,7.30205125676239e-07
"1932","ENSG00000184208 M8/D6",5,"ENSG00000184208","M8/D6","ENSG00000184208 M8/D6",0.900821434402855,0.0878751155602083
"1933","ENSG00000184270 M8/D6",6,"ENSG00000184270","M8/D6","ENSG00000184270 M8/D6",1.62627011242958,0.0142972648697935
"1938","ENSG00000184743 M8/D6",4,"ENSG00000184743","M8/D6","ENSG00000184743 M8/D6",0.932502649325736,0.0650543082895088
"1944","ENSG00000184903 M8/D6",7,"ENSG00000184903","M8/D6","ENSG00000184903 M8/D6",0.739121138359232,0.00885843638921186
"1948","ENSG00000184923 M8/D6",5,"ENSG00000184923","M8/D6","ENSG00000184923 M8/D6",0.807862562725631,0.043648648984703
"1954","ENSG00000185105 M8/D6",7,"ENSG00000185105","M8/D6","ENSG00000185105 M8/D6",1.68651798426121,0.00291002445110092
"1962","ENSG00000185269 M8/D6",6,"ENSG00000185269","M8/D6","ENSG00000185269 M8/D6",1.53062743783029,0.0482197034213243
"1964","ENSG00000185379 M8/D6",8,"ENSG00000185379","M8/D6","ENSG00000185379 M8/D6",0.890872336918991,0.0179960043197739
"1972","ENSG00000185798 M8/D6",5,"ENSG00000185798","M8/D6","ENSG00000185798 M8/D6",0.864881597392386,0.052962241421339
"1977","ENSG00000185933 M8/D6",8,"ENSG00000185933","M8/D6","ENSG00000185933 M8/D6",2.11603542055421,0.0156519512791036
"1980","ENSG00000186111 M8/D6",8,"ENSG00000186111","M8/D6","ENSG00000186111 M8/D6",1.17765750434667,0.0023018400270623
"2001","ENSG00000187122 M8/D6",9,"ENSG00000187122","M8/D6","ENSG00000187122 M8/D6",0.596023209166346,0.0026571006453198
"2004","ENSG00000187609 M8/D6",9,"ENSG00000187609","M8/D6","ENSG00000187609 M8/D6",1.41683914215808,0.0035683540329318
"2010","ENSG00000187862 M8/D6",10,"ENSG00000187862","M8/D6","ENSG00000187862 M8/D6",2.35406330285106,3.06368049576318e-05
"2016","ENSG00000188636 M8/D6",10,"ENSG00000188636","M8/D6","ENSG00000188636 M8/D6",0.615716560550953,0.000718790998338063
"2019","ENSG00000188760 M8/D6",8,"ENSG00000188760","M8/D6","ENSG00000188760 M8/D6",0.581966023527425,0.00158658179567643
"2023","ENSG00000189420 M8/D6",10,"ENSG00000189420","M8/D6","ENSG00000189420 M8/D6",1.56198321981613,0.000314234174295866
"2025","ENSG00000196268 M8/D6",4,"ENSG00000196268","M8/D6","ENSG00000196268 M8/D6",1.08982118638303,0.133925704387654
"2028","ENSG00000196365 M8/D6",10,"ENSG00000196365","M8/D6","ENSG00000196365 M8/D6",0.767010897481662,0.000357850671090512
