"gene","compare","gene_compare","ubb"
"ENSG00000109684","F7/D6","ENSG00000109684 F7/D6",5.24240342911076
"ENSG00000109684","M8/D6","ENSG00000109684 M8/D6",2.33068226602618
"ENSG00000109814","D5/D6","ENSG00000109814 D5/D6",5.42940762058211
"ENSG00000109814","M8/D6","ENSG00000109814 M8/D6",3.7912264382494
"ENSG00000109943","M8/D6","ENSG00000109943 M8/D6",5.79511746098891
"ENSG00000110665","F7/D6","ENSG00000110665 F7/D6",1.80595248023804
"ENSG00000110665","M8/D6","ENSG00000110665 M8/D6",5.00750618415047
"ENSG00000110717","M8/D6","ENSG00000110717 M8/D6",11.3664006514864
"ENSG00000110900","D5/D6","ENSG00000110900 D5/D6",13.4488652294441
"ENSG00000110900","F7/D6","ENSG00000110900 F7/D6",121.156913340263
"ENSG00000110900","M8/D6","ENSG00000110900 M8/D6",29.3699980048635
"ENSG00000111266","F7/D6","ENSG00000111266 F7/D6",3.26309202161311
"ENSG00000111266","M8/D6","ENSG00000111266 M8/D6",1.64755496514276
"ENSG00000111445","M8/D6","ENSG00000111445 M8/D6",10.6585672909792
"ENSG00000111481","D5/D6","ENSG00000111481 D5/D6",3.91355032884924
"ENSG00000111481","M8/D6","ENSG00000111481 M8/D6",6.40252831930067
"ENSG00000111832","F7/D6","ENSG00000111832 F7/D6",9.63549851119784
"ENSG00000111845","D5/D6","ENSG00000111845 D5/D6",9.77621803051525
"ENSG00000111845","M8/D6","ENSG00000111845 M8/D6",11.7640096913295
"ENSG00000111850","F7/D6","ENSG00000111850 F7/D6",3.45921514262071
"ENSG00000111961","D5/D6","ENSG00000111961 D5/D6",0.486866035527176
"ENSG00000111961","F7/D6","ENSG00000111961 F7/D6",0.495138847529944
"ENSG00000112118","D5/D6","ENSG00000112118 D5/D6",3.61574392446865
"ENSG00000112118","M8/D6","ENSG00000112118 M8/D6",2.78990970537578
"ENSG00000112651","D5/D6","ENSG00000112651 D5/D6",11.1023414374693
"ENSG00000113387","F7/D6","ENSG00000113387 F7/D6",7.46933480805682
"ENSG00000113387","M8/D6","ENSG00000113387 M8/D6",7.29770730710892
"ENSG00000114251","D5/D6","ENSG00000114251 D5/D6",13.7330632370544
"ENSG00000114251","F7/D6","ENSG00000114251 F7/D6",6.22689744289775
"ENSG00000114251","M8/D6","ENSG00000114251 M8/D6",7.87954950985336
"ENSG00000114767","D5/D6","ENSG00000114767 D5/D6",8.00188432358794
"ENSG00000114767","M8/D6","ENSG00000114767 M8/D6",13.9296456888118
"ENSG00000114948","D5/D6","ENSG00000114948 D5/D6",1.14753888888318
"ENSG00000114948","F7/D6","ENSG00000114948 F7/D6",2.5865990246316
"ENSG00000114948","M8/D6","ENSG00000114948 M8/D6",1.06686825813643
"ENSG00000115053","D5/D6","ENSG00000115053 D5/D6",8.23467801914557
"ENSG00000115053","F7/D6","ENSG00000115053 F7/D6",11.495322663472
"ENSG00000115053","M8/D6","ENSG00000115053 M8/D6",6.28831744716574
"ENSG00000115129","D5/D6","ENSG00000115129 D5/D6",8.95463532352442
"ENSG00000115129","M8/D6","ENSG00000115129 M8/D6",9.01001630637699
"ENSG00000115204","D5/D6","ENSG00000115204 D5/D6",7.69009552043887
"ENSG00000115204","M8/D6","ENSG00000115204 M8/D6",5.28910735379591
"ENSG00000115207","D5/D6","ENSG00000115207 D5/D6",1.22753302865563
"ENSG00000115306","D5/D6","ENSG00000115306 D5/D6",1.82762063320539
"ENSG00000115306","F7/D6","ENSG00000115306 F7/D6",1.84061173191884
"ENSG00000115306","M8/D6","ENSG00000115306 M8/D6",2.38602299894602
"ENSG00000115310","D5/D6","ENSG00000115310 D5/D6",4.25987825233073
"ENSG00000115310","F7/D6","ENSG00000115310 F7/D6",3.73011990782769
"ENSG00000115339","D5/D6","ENSG00000115339 D5/D6",10.3909752577887
"ENSG00000115339","F7/D6","ENSG00000115339 F7/D6",7.22861078167597
"ENSG00000115339","M8/D6","ENSG00000115339 M8/D6",12.820467229955
"ENSG00000115425","D5/D6","ENSG00000115425 D5/D6",6.73534538401459
"ENSG00000115425","F7/D6","ENSG00000115425 F7/D6",3.06379154689496
"ENSG00000115541","D5/D6","ENSG00000115541 D5/D6",8.94765373563557
"ENSG00000115541","M8/D6","ENSG00000115541 M8/D6",6.01612368760479
"ENSG00000115568","D5/D6","ENSG00000115568 D5/D6",5.18660584773035
"ENSG00000115850","D5/D6","ENSG00000115850 D5/D6",28.2586528207315
"ENSG00000115850","F7/D6","ENSG00000115850 F7/D6",6.62071357699293
"ENSG00000115896","D5/D6","ENSG00000115896 D5/D6",11.1846135788069
"ENSG00000115896","F7/D6","ENSG00000115896 F7/D6",4.5742907599892
"ENSG00000116062","D5/D6","ENSG00000116062 D5/D6",9.65720099332661
"ENSG00000116062","M8/D6","ENSG00000116062 M8/D6",15.208405455152
"ENSG00000116209","D5/D6","ENSG00000116209 D5/D6",2.07131500972074
"ENSG00000116209","F7/D6","ENSG00000116209 F7/D6",3.89638324668569
"ENSG00000116209","M8/D6","ENSG00000116209 M8/D6",4.77507565123637
"ENSG00000116396","D5/D6","ENSG00000116396 D5/D6",7.51485166237946
"ENSG00000116396","F7/D6","ENSG00000116396 F7/D6",5.02426843571916
"ENSG00000116396","M8/D6","ENSG00000116396 M8/D6",4.66202005808122
"ENSG00000116678","D5/D6","ENSG00000116678 D5/D6",7.58823066806375
"ENSG00000116678","F7/D6","ENSG00000116678 F7/D6",10.9016526168479
"ENSG00000116678","M8/D6","ENSG00000116678 M8/D6",8.81218276515341
"ENSG00000116871","M8/D6","ENSG00000116871 M8/D6",9.03261049328662
"ENSG00000116874","M8/D6","ENSG00000116874 M8/D6",0.911182268032595
"ENSG00000117009","D5/D6","ENSG00000117009 D5/D6",8.29183909492176
"ENSG00000117298","D5/D6","ENSG00000117298 D5/D6",5.84828757508068
"ENSG00000117298","F7/D6","ENSG00000117298 F7/D6",9.14953996538346
"ENSG00000117362","D5/D6","ENSG00000117362 D5/D6",7.82242505965709
"ENSG00000117676","F7/D6","ENSG00000117676 F7/D6",15.7352317581318
"ENSG00000117748","F7/D6","ENSG00000117748 F7/D6",4.14349083226498
