"","uchar","gene_compare","gene","compare"
"ENSG00000052749 F7/D6",1.46268144216483,"ENSG00000052749 F7/D6","ENSG00000052749","F7/D6"
"ENSG00000052749 M8/D6",0.840383200994113,"ENSG00000052749 M8/D6","ENSG00000052749","M8/D6"
"ENSG00000053501 D5/D6",2.49108523742953,"ENSG00000053501 D5/D6","ENSG00000053501","D5/D6"
"ENSG00000053501 F7/D6",1.71626701565565,"ENSG00000053501 F7/D6","ENSG00000053501","F7/D6"
"ENSG00000053501 M8/D6",3.70494389140047,"ENSG00000053501 M8/D6","ENSG00000053501","M8/D6"
"ENSG00000053702 D5/D6",4.39040103600561,"ENSG00000053702 D5/D6","ENSG00000053702","D5/D6"
"ENSG00000053702 F7/D6",3.44622498805037,"ENSG00000053702 F7/D6","ENSG00000053702","F7/D6"
"ENSG00000053702 M8/D6",4.69940254093852,"ENSG00000053702 M8/D6","ENSG00000053702","M8/D6"
"ENSG00000054179 D5/D6",2.91355837274003,"ENSG00000054179 D5/D6","ENSG00000054179","D5/D6"
"ENSG00000054179 F7/D6",4.55844773800183,"ENSG00000054179 F7/D6","ENSG00000054179","F7/D6"
"ENSG00000054179 M8/D6",3.74804737266862,"ENSG00000054179 M8/D6","ENSG00000054179","M8/D6"
"ENSG00000054267 D5/D6",0.92069554700231,"ENSG00000054267 D5/D6","ENSG00000054267","D5/D6"
"ENSG00000054267 F7/D6",2.17987969942922,"ENSG00000054267 F7/D6","ENSG00000054267","F7/D6"
"ENSG00000054267 M8/D6",1.29182618344451,"ENSG00000054267 M8/D6","ENSG00000054267","M8/D6"
"ENSG00000055957 D5/D6",10.8256275274779,"ENSG00000055957 D5/D6","ENSG00000055957","D5/D6"
"ENSG00000055957 F7/D6",8.2657734843358,"ENSG00000055957 F7/D6","ENSG00000055957","F7/D6"
"ENSG00000055957 M8/D6",7.00422038649958,"ENSG00000055957 M8/D6","ENSG00000055957","M8/D6"
"ENSG00000057663 D5/D6",5.24338872545425,"ENSG00000057663 D5/D6","ENSG00000057663","D5/D6"
"ENSG00000057663 F7/D6",2.68893036319845,"ENSG00000057663 F7/D6","ENSG00000057663","F7/D6"
"ENSG00000057663 M8/D6",6.18772577927881,"ENSG00000057663 M8/D6","ENSG00000057663","M8/D6"
"ENSG00000057935 D5/D6",3.22845724506869,"ENSG00000057935 D5/D6","ENSG00000057935","D5/D6"
"ENSG00000057935 F7/D6",3.66672287530621,"ENSG00000057935 F7/D6","ENSG00000057935","F7/D6"
"ENSG00000057935 M8/D6",4.56290500133418,"ENSG00000057935 M8/D6","ENSG00000057935","M8/D6"
"ENSG00000058056 D5/D6",1.8360449592481,"ENSG00000058056 D5/D6","ENSG00000058056","D5/D6"
"ENSG00000058056 F7/D6",1.31438961233646,"ENSG00000058056 F7/D6","ENSG00000058056","F7/D6"
"ENSG00000058056 M8/D6",1.85379882348957,"ENSG00000058056 M8/D6","ENSG00000058056","M8/D6"
"ENSG00000058262 D5/D6",6.91244880850854,"ENSG00000058262 D5/D6","ENSG00000058262","D5/D6"
"ENSG00000058262 F7/D6",5.76854142606865,"ENSG00000058262 F7/D6","ENSG00000058262","F7/D6"
"ENSG00000058262 M8/D6",6.18732758019367,"ENSG00000058262 M8/D6","ENSG00000058262","M8/D6"
"ENSG00000058600 D5/D6",1.46025330121522,"ENSG00000058600 D5/D6","ENSG00000058600","D5/D6"
"ENSG00000058600 F7/D6",1.16781590639589,"ENSG00000058600 F7/D6","ENSG00000058600","F7/D6"
"ENSG00000058600 M8/D6",1.85918925040762,"ENSG00000058600 M8/D6","ENSG00000058600","M8/D6"
"ENSG00000058866 D5/D6",3.33615107196919,"ENSG00000058866 D5/D6","ENSG00000058866","D5/D6"
"ENSG00000058866 F7/D6",4.35490284375007,"ENSG00000058866 F7/D6","ENSG00000058866","F7/D6"
