"","gene","Freq","sample"
"642","ENSG00000163376",10,"D5"
"643","ENSG00000163406",10,"D5"
"644","ENSG00000163510",10,"D5"
"645","ENSG00000163702",10,"D5"
"646","ENSG00000163820",10,"D5"
"647","ENSG00000163875",10,"D5"
"648","ENSG00000163879",10,"D5"
"649","ENSG00000164074",10,"D5"
"651","ENSG00000164199",10,"D5"
"652","ENSG00000164291",10,"D5"
"654","ENSG00000164404",10,"D5"
"655","ENSG00000164591",10,"D5"
"656","ENSG00000164692",10,"D5"
"657","ENSG00000164855",10,"D5"
"658","ENSG00000164880",10,"D5"
"660","ENSG00000165046",10,"D5"
"661","ENSG00000165178",10,"D5"
"662","ENSG00000165406",10,"D5"
"663","ENSG00000165475",10,"D5"
"664","ENSG00000165501",10,"D5"
"665","ENSG00000165548",10,"D5"
"666","ENSG00000165591",10,"D5"
"667","ENSG00000165629",10,"D5"
"668","ENSG00000165757",10,"D5"
"669","ENSG00000165874",10,"D5"
"670","ENSG00000165948",10,"D5"
"672","ENSG00000166169",10,"D5"
"673","ENSG00000166257",10,"D5"
"674","ENSG00000166275",10,"D5"
"675","ENSG00000166455",10,"D5"
"676","ENSG00000166471",10,"D5"
"677","ENSG00000166582",10,"D5"
"678","ENSG00000166595",10,"D5"
"679","ENSG00000166710",10,"D5"
"681","ENSG00000166860",10,"D5"
"682","ENSG00000166887",10,"D5"
"683","ENSG00000167077",10,"D5"
"684","ENSG00000167106",10,"D5"
"686","ENSG00000167178",10,"D5"
"687","ENSG00000167186",10,"D5"
"688","ENSG00000167363",10,"D5"
"689","ENSG00000167377",10,"D5"
"690","ENSG00000167447",10,"D5"
"691","ENSG00000167552",10,"D5"
"692","ENSG00000167555",10,"D5"
"693","ENSG00000167562",10,"D5"
"694","ENSG00000167604",10,"D5"
"695","ENSG00000167608",10,"D5"
"696","ENSG00000167615",10,"D5"
"697","ENSG00000167766",10,"D5"
"698","ENSG00000167792",10,"D5"
"699","ENSG00000167900",10,"D5"
"700","ENSG00000168036",10,"D5"
"702","ENSG00000168214",10,"D5"
"703","ENSG00000168246",10,"D5"
"704","ENSG00000168288",10,"D5"
"705","ENSG00000168386",10,"D5"
"706","ENSG00000168404",10,"D5"
"707","ENSG00000168522",10,"D5"
"708","ENSG00000168610",10,"D5"
"709","ENSG00000168778",10,"D5"
"710","ENSG00000168826",10,"D5"
"713","ENSG00000168887",10,"D5"
"715","ENSG00000169032",10,"D5"
"716","ENSG00000169062",10,"D5"
"717","ENSG00000169118",10,"D5"
"718","ENSG00000169139",10,"D5"
"719","ENSG00000169188",10,"D5"
"720","ENSG00000169282",10,"D5"
"721","ENSG00000169718",10,"D5"
"722","ENSG00000170006",10,"D5"
"723","ENSG00000170092",10,"D5"
"724","ENSG00000170144",10,"D5"
"725","ENSG00000170160",10,"D5"
"726","ENSG00000170270",10,"D5"
"727","ENSG00000170409",10,"D5"
"728","ENSG00000170430",10,"D5"
"729","ENSG00000170509",10,"D5"
"730","ENSG00000170667",10,"D5"
"731","ENSG00000170684",10,"D5"
"732","ENSG00000170703",10,"D5"
"733","ENSG00000170759",10,"D5"
"735","ENSG00000171311",10,"D5"
"736","ENSG00000171316",10,"D5"
"738","ENSG00000171462",10,"D5"
"739","ENSG00000171467",10,"D5"
"740","ENSG00000171488",10,"D5"
"741","ENSG00000171490",10,"D5"
"742","ENSG00000171492",10,"D5"
"743","ENSG00000171595",10,"D5"
"745","ENSG00000171786",10,"D5"
"746","ENSG00000171793",10,"D5"
"747","ENSG00000171960",10,"D5"
"748","ENSG00000172172",10,"D5"
"749","ENSG00000172301",10,"D5"
"750","ENSG00000172426",10,"D5"
"751","ENSG00000172531",10,"D5"
"752","ENSG00000172602",10,"D5"
"753","ENSG00000172650",10,"D5"
"754","ENSG00000172893",10,"D5"
"755","ENSG00000172932",10,"D5"
"756","ENSG00000172939",10,"D5"
"757","ENSG00000172965",10,"D5"
"758","ENSG00000173273",10,"D5"
"761","ENSG00000173436",10,"D5"
"762","ENSG00000173614",10,"D5"
"763","ENSG00000173930",10,"D5"
"764","ENSG00000174004",10,"D5"
"765","ENSG00000174007",10,"D5"
"767","ENSG00000174206",10,"D5"
"768","ENSG00000174405",10,"D5"
"769","ENSG00000174501",10,"D5"
"770","ENSG00000174695",10,"D5"
"771","ENSG00000174748",10,"D5"
"772","ENSG00000174749",10,"D5"
"774","ENSG00000174886",10,"D5"
"775","ENSG00000174939",10,"D5"
"776","ENSG00000174943",10,"D5"
"777","ENSG00000175104",10,"D5"
"779","ENSG00000175324",10,"D5"
"780","ENSG00000175592",10,"D5"
"782","ENSG00000175606",10,"D5"
"783","ENSG00000175711",10,"D5"
"785","ENSG00000176018",10,"D5"
"787","ENSG00000176155",10,"D5"
"788","ENSG00000176160",10,"D5"
"789","ENSG00000176171",10,"D5"
"790","ENSG00000176209",10,"D5"
"791","ENSG00000176225",10,"D5"
"793","ENSG00000176753",10,"D5"
"795","ENSG00000176894",10,"D5"
"796","ENSG00000176903",10,"D5"
"797","ENSG00000177144",10,"D5"
"798","ENSG00000177173",10,"D5"
"799","ENSG00000177888",10,"D5"
"800","ENSG00000177963",10,"D5"
"802","ENSG00000178105",10,"D5"
"803","ENSG00000178163",10,"D5"
"804","ENSG00000178201",10,"D5"
"805","ENSG00000178297",10,"D5"
"806","ENSG00000178307",10,"D5"
"808","ENSG00000178718",10,"D5"
"809","ENSG00000178764",10,"D5"
"811","ENSG00000179141",10,"D5"
"812","ENSG00000179222",10,"D5"
"813","ENSG00000179304",10,"D5"
"815","ENSG00000179362",10,"D5"
"816","ENSG00000179454",10,"D5"
"817","ENSG00000179846",10,"D5"
"818","ENSG00000179873",10,"D5"
"819","ENSG00000179978",10,"D5"
"820","ENSG00000180096",10,"D5"
"821","ENSG00000180098",10,"D5"
