"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000088727",0.7411,-0.3746,-0.4381,0.9855
"D5","ENSG00000156535",0.0837,1.2385,1.4029,0.8981
"D5","ENSG00000249407",0.6756,-1.6569,-1.2196,0.9798
"D5","ENSG00000143393",0.5989,3.176,3.2447,0.9775
"D5","ENSG00000270038",0.0557,-4.2773,-6.6439,0.876
"D5","ENSG00000263680",0.143,-0.6812,-0.1,0.92
"D5","ENSG00000205089",0.502,2.1904,2.1291,0.9562
"D5","ENSG00000280079",0.3314,-0.5763,-0.9231,0.9223
"D5","ENSG00000135070",0.7634,1.9884,2.0264,0.9895
"D5","ENSG00000230530",0.5224,-2.0205,-1.7418,0.9562
"D5","ENSG00000235299",0.1146,1.971,1.4649,0.92
"D5","ENSG00000227008",0.0177,-1.7626,-2.8989,0.7321
"D5","ENSG00000119777",0.6176,3.239,3.2076,0.9775
"D5","ENSG00000130768",0.3012,0.3761,0.6255,0.9223
"D5","ENSG00000256811",0.2725,-5.343,-6.6439,0.92
"D5","ENSG00000137218",0.6142,0.7852,0.8793,0.9775
"D5","ENSG00000263368",0.2243,0.85,1.1434,0.92
"D5","ENSG00000223791",0.2333,-2.7943,-1.5781,0.92
"D5","ENSG00000217643",0.4386,0.5779,0.2355,0.947
"D5","ENSG00000069424",0.9026,4.1997,4.1916,0.9948
"D5","ENSG00000250474",0.4208,-2.2545,-1.7803,0.947
"D5","ENSG00000100483",0.2676,1.8835,2.0862,0.92
"D5","ENSG00000176894",0.6917,2.4212,2.3475,0.9798
"D5","ENSG00000182944",0.4357,4.4276,4.3803,0.947
"D5","ENSG00000135048",0.5006,-3.1693,-3.3871,0.9562
"D5","ENSG00000225704",0.9411,-4.8243,-4.7041,0.9969
"D5","ENSG00000214203",0.8564,-1.1917,-1.0591,0.9948
"D5","ENSG00000268095",0.4602,-1.5272,-1.8254,0.9503
"D5","ENSG00000139531",0.8803,0.767,0.8126,0.9948
"D5","ENSG00000257979",0.3511,-2.8371,-1.1534,0.9223
"D5","ENSG00000207091",0.8267,1.4509,1.5496,0.9948
"D5","ENSG00000258186",0.418,4.6798,4.7744,0.947
"D5","ENSG00000148158",0.805,2.3957,2.4131,0.9948
