"gene_compare","log2fc_p","gene","compare"
"ENSG00000128482 D5/D6",0.124206223031922,"ENSG00000128482","D5/D6"
"ENSG00000099139 D5/D6",0.934785944842545,"ENSG00000099139","D5/D6"
"ENSG00000261770 D5/D6",0.195990401592331,"ENSG00000261770","D5/D6"
"ENSG00000224137 D5/D6",0.674416706708642,"ENSG00000224137","D5/D6"
"ENSG00000203814 D5/D6",0.0833597017384288,"ENSG00000203814","D5/D6"
"ENSG00000230795 D5/D6",0.6928407036418,"ENSG00000230795","D5/D6"
"ENSG00000070404 D5/D6",0.24210970750484,"ENSG00000070404","D5/D6"
"ENSG00000257718 D5/D6",0.015019620432525,"ENSG00000257718","D5/D6"
"ENSG00000186272 D5/D6",0.777583169517909,"ENSG00000186272","D5/D6"
"ENSG00000234367 D5/D6",0.438526256433512,"ENSG00000234367","D5/D6"
"ENSG00000151474 D5/D6",0.824875765180627,"ENSG00000151474","D5/D6"
"ENSG00000123453 D5/D6",0.554624492272997,"ENSG00000123453","D5/D6"
"ENSG00000126458 D5/D6",0.36844692687137,"ENSG00000126458","D5/D6"
"ENSG00000276925 D5/D6",0.331278922430155,"ENSG00000276925","D5/D6"
"ENSG00000101670 D5/D6",0.713224554536769,"ENSG00000101670","D5/D6"
"ENSG00000283696 D5/D6",0.593504459467358,"ENSG00000283696","D5/D6"
"ENSG00000261242 D5/D6",0.400398565312319,"ENSG00000261242","D5/D6"
"ENSG00000197822 D5/D6",0.37420750093936,"ENSG00000197822","D5/D6"
"ENSG00000180929 D5/D6",0.0990050935454222,"ENSG00000180929","D5/D6"
"ENSG00000240429 D5/D6",0.720404921327417,"ENSG00000240429","D5/D6"
"ENSG00000236567 D5/D6",0.535776604005954,"ENSG00000236567","D5/D6"
"ENSG00000262188 D5/D6",0.227284952202752,"ENSG00000262188","D5/D6"
"ENSG00000091136 D5/D6",0.33710624554731,"ENSG00000091136","D5/D6"
"ENSG00000252915 D5/D6",0.120948349210293,"ENSG00000252915","D5/D6"
"ENSG00000235299 D5/D6",0.401101724990121,"ENSG00000235299","D5/D6"
"ENSG00000262339 D5/D6",0.51465492811544,"ENSG00000262339","D5/D6"
"ENSG00000151422 D5/D6",0.000694142644517962,"ENSG00000151422","D5/D6"
