"","Var1","Freq","gene","compare","gene_compare","fc","medianp","uchar","ubb","us","uc","U"
1846,"ENSG00000180423 D5/D6",7,"ENSG00000180423","D5/D6","ENSG00000180423 D5/D6",0.802712145870087,0.0315215918144832,0.637755523038117,20.248905209947,3.04463151948601,20.4864510200774,40.9729020401548
1848,"ENSG00000180573 D5/D6",8,"ENSG00000180573","D5/D6","ENSG00000180573 D5/D6",0.483870030873479,0.00049068077969728,12.0830406178631,675.823052768634,3.04463151948601,675.937917493299,1351.8758349866
1851,"ENSG00000180667 D5/D6",9,"ENSG00000180667","D5/D6","ENSG00000180667 D5/D6",0.399355501673695,2.47482721197928e-07,4.12263165012937,8.85450539088953,3.04463151948601,10.2307447690473,20.4614895380946
1854,"ENSG00000180815 D5/D6",9,"ENSG00000180815","D5/D6","ENSG00000180815 D5/D6",2.25988847485855,0.0003416849264472,5.15362478382277,1.69935513302478,3.04463151948601,6.22233375591648,12.444667511833
1857,"ENSG00000180846 D5/D6",6,"ENSG00000180846","D5/D6","ENSG00000180846 D5/D6",0.569042177833647,0.0429077238868566,4.4653593792741,12.5470225757205,3.04463151948601,13.6615149595921,27.3230299191842
1860,"ENSG00000180884 D5/D6",4,"ENSG00000180884","D5/D6","ENSG00000180884 D5/D6",0.815016129314673,0.0695671009323682,3.94989334333884,16.8780762494765,3.04463151948601,17.5994572756191,35.1989145512382
1864,"ENSG00000181035 D5/D6",7,"ENSG00000181035","D5/D6","ENSG00000181035 D5/D6",0.870668743829919,0.0129268579684117,0.644707245374116,38.3077538338576,3.04463151948601,38.4339619648706,76.8679239297412
1869,"ENSG00000181222 D5/D6",8,"ENSG00000181222","D5/D6","ENSG00000181222 D5/D6",0.83966805631597,0.0034012398187856,2.0538250340623,23.3225135081819,3.04463151948601,23.6099050125009,47.2198100250018
1872,"ENSG00000181350 D5/D6",5,"ENSG00000181350","D5/D6","ENSG00000181350 D5/D6",1.93211092162934,0.0480445608546974,13.5734260966484,48.2156167123773,3.04463151948601,50.1822017456937,100.364403491387
1875,"ENSG00000181588 D5/D6",8,"ENSG00000181588","D5/D6","ENSG00000181588 D5/D6",1.60963076888467,0.00796094418750391,5.51182813055085,6.7018474076353,3.04463151948601,9.19591154293077,18.3918230858615
1878,"ENSG00000181754 D5/D6",10,"ENSG00000181754","D5/D6","ENSG00000181754 D5/D6",2.7260184089797,6.07607217331326e-06,2.75887097317993,9.75402537928552,3.04463151948601,10.5840522124491,21.1681044248982
1881,"ENSG00000181790 D5/D6",5,"ENSG00000181790","D5/D6","ENSG00000181790 D5/D6",0.749641044381997,0.0875583360042993,3.90231904614602,2.88284342590193,3.04463151948601,5.72788453494199,11.455769069884
1906,"ENSG00000182858 D5/D6",5,"ENSG00000182858","D5/D6","ENSG00000182858 D5/D6",0.86921271200415,0.0387748801251016,1.51603989289626,17.5668062376066,3.04463151948601,17.8930388541442,35.7860777082884
1909,"ENSG00000182944 D5/D6",7,"ENSG00000182944","D5/D6","ENSG00000182944 D5/D6",1.09641614659581,0.0247606322639097,1.4133604452228,127.954900019508,3.04463151948601,127.998921119828,255.997842239656
1928,"ENSG00000183889 D5/D6",8,"ENSG00000183889","D5/D6","ENSG00000183889 D5/D6",1.23883633759081,0.00506003833130844,2.93618538899372,53.9153379617592,3.04463151948601,54.08100066806,108.16200133612
1934,"ENSG00000184507 D5/D6",4,"ENSG00000184507","D5/D6","ENSG00000184507 D5/D6",1.8073663254773,0.062272424679873,11.924472406168,2.48009219676289,3.04463151948601,12.5544287229389,25.1088574458778
1936,"ENSG00000184743 D5/D6",4,"ENSG00000184743","D5/D6","ENSG00000184743 D5/D6",1.05283997664258,0.235433545248057,0.841574948325244,23.3390924219914,3.04463151948601,23.5518845225887,47.1037690451774
1942,"ENSG00000184903 D5/D6",7,"ENSG00000184903","D5/D6","ENSG00000184903 D5/D6",1.35785606915788,0.0210708149507457,3.29076324227455,19.7280652298669,3.04463151948601,20.2310519133345,40.462103826669
1949,"ENSG00000185049 D5/D6",4,"ENSG00000185049","D5/D6","ENSG00000185049 D5/D6",1.12940437199349,0.0638242839863763,1.31526554444761,34.4265296216763,3.04463151948601,34.5859168786085,69.171833757217
1958,"ENSG00000185246 D5/D6",4,"ENSG00000185246","D5/D6","ENSG00000185246 D5/D6",1.08255247716963,0.0776458264920721,1.82386581801979,68.3731728994525,3.04463151948601,68.4652250412574,136.930450082515
1975,"ENSG00000185933 D5/D6",4,"ENSG00000185933","D5/D6","ENSG00000185933 D5/D6",1.92988693432777,0.0522735154694668,13.3964271543798,5.73115872385332,3.04463151948601,14.8855709299325,29.771141859865
1978,"ENSG00000186111 D5/D6",10,"ENSG00000186111","D5/D6","ENSG00000186111 D5/D6",0.70330957214419,0.000523213459674209,2.16741190614824,18.6102504899765,3.04463151948601,18.9818038858279,37.9636077716558
1983,"ENSG00000186298 D5/D6",6,"ENSG00000186298","D5/D6","ENSG00000186298 D5/D6",1.13213227689141,0.00839003494957742,1.99107998464694,159.683509835751,3.04463151948601,159.724943243249,319.449886486498
1985,"ENSG00000186468 D5/D6",10,"ENSG00000186468","D5/D6","ENSG00000186468 D5/D6",1.40502806805217,0.000177344958105387,1.64571400030405,615.229792549168,3.04463151948601,615.239527172753,1230.47905434551
1992,"ENSG00000186765 D5/D6",4,"ENSG00000186765","D5/D6","ENSG00000186765 D5/D6",0.733376131837179,0.0984188994824131,3.33663880709617,24.1799270817535,3.04463151948601,24.5982075220408,49.1964150440816
1996,"ENSG00000187097 D5/D6",4,"ENSG00000187097","D5/D6","ENSG00000187097 D5/D6",1.12082770053862,0.0646481302407226,1.38135635969363,12.2626977129579,3.04463151948601,12.7102982530426,25.4205965060852
1999,"ENSG00000187122 D5/D6",7,"ENSG00000187122","D5/D6","ENSG00000187122 D5/D6",0.589711004335836,0.0203750911248249,13.7186925869881,3.5758575595129,3.04463151948601,14.5003125715157,29.0006251430314
2002,"ENSG00000187609 D5/D6",6,"ENSG00000187609","D5/D6","ENSG00000187609 D5/D6",0.782448949505415,0.0121168310396551,3.83050209898698,1.13065659737313,3.04463151948601,5.02204258852658,10.0440851770532
2008,"ENSG00000187862 D5/D6",6,"ENSG00000187862","D5/D6","ENSG00000187862 D5/D6",0.759637694770492,0.0308308500658638,3.81575161634596,16.2239973031486,3.04463151948601,16.9424859445026,33.8849718890052
2011,"ENSG00000188026 D5/D6",7,"ENSG00000188026","D5/D6","ENSG00000188026 D5/D6",1.29293218975105,0.00705052492882089,3.4125336715844,12.3579545268548,3.04463151948601,13.1770333245748,26.3540666491496
2014,"ENSG00000188636 D5/D6",10,"ENSG00000188636","D5/D6","ENSG00000188636 D5/D6",1.80532813236849,1.6635808239937e-05,0.638591320061872,11.8728790568185,3.04463151948601,12.273664369753,24.547328739506
2017,"ENSG00000188760 D5/D6",8,"ENSG00000188760","D5/D6","ENSG00000188760 D5/D6",1.70252815024328,0.00246492928727416,7.10507372463702,12.770859633331,3.04463151948601,14.9280510950431,29.8561021900862
2021,"ENSG00000189420 D5/D6",10,"ENSG00000189420","D5/D6","ENSG00000189420 D5/D6",1.46974925995161,0.00140487320877529,1.71769787288703,0.900907800771992,3.04463151948601,3.60997256741102,7.21994513482204
2026,"ENSG00000196365 D5/D6",10,"ENSG00000196365","D5/D6","ENSG00000196365 D5/D6",1.24152147907873,9.22201909192639e-05,0.888628207591605,175.152915487694,3.04463151948601,175.181629302333,350.363258604666
2032,"ENSG00000196456 D5/D6",8,"ENSG00000196456","D5/D6","ENSG00000196456 D5/D6",0.731566164064329,0.00907261902738185,5.84204302609813,109.827166345401,3.04463151948601,110.02456868931,220.04913737862
2035,"ENSG00000196466 D5/D6",6,"ENSG00000196466","D5/D6","ENSG00000196466 D5/D6",0.792246261330483,0.0186375341976705,2.97636202451591,11.7801357949275,3.04463151948601,12.5259774603565,25.051954920713
2043,"ENSG00000196911 D5/D6",4,"ENSG00000196911","D5/D6","ENSG00000196911 D5/D6",0.896282123163567,0.0564679379419584,1.45731107391222,5.55342835857522,3.04463151948601,6.49877705337107,12.9975541067421
